Name,Description,Price,Category,Stock,Image URL,Primary Image URL,All Image URLs,Created By,Created At
Black Diamond Headlamp,Bright LED headlamp with multiple light modes and long battery life.,39.95,sports,40,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695178/ecommerce/products/product_1758695177559_6xufhsyq6.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695178/ecommerce/products/product_1758695177559_6xufhsyq6.jpg,admin,2025-09-23T03:45:41.000Z
Osprey Atmos AG 65 Backpack,65-liter backpacking pack with Anti-Gravity suspension system.,250,sports,14,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695175/ecommerce/products/product_1758695174963_axfsljlqn.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695175/ecommerce/products/product_1758695174963_axfsljlqn.jpg,admin,2025-09-23T03:45:40.998Z
Garmin Forerunner 945 GPS Watch,Multisport GPS watch with music storage and advanced training metrics.,599.99,sports,24,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695173/ecommerce/products/product_1758695172380_1weoj0x6w.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695173/ecommerce/products/product_1758695172380_1weoj0x6w.jpg,admin,2025-09-23T03:45:40.996Z
REI Co-op Half Dome 2 Plus Tent,2-person backpacking tent with easy setup and weather protection.,199,sports,20,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695170/ecommerce/products/product_1758695169784_8n7p3d5t2.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695170/ecommerce/products/product_1758695169784_8n7p3d5t2.jpg,admin,2025-09-23T03:45:40.988Z
Yeti Rambler 30oz Tumbler,Insulated stainless steel tumbler that keeps drinks cold for hours.,35,sports,60,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695168/ecommerce/products/product_1758695167240_lzpsov1pu.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695168/ecommerce/products/product_1758695167240_lzpsov1pu.jpg,admin,2025-09-23T03:45:40.986Z
Peloton Bike+,Interactive fitness bike with 24-inch rotating touchscreen and live classes.,2495,sports,8,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695165/ecommerce/products/product_1758695164360_ansuxrq4x.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695165/ecommerce/products/product_1758695164360_ansuxrq4x.jpg,admin,2025-09-23T03:45:40.984Z
Vitamix A3500 Ascent Series Blender,Professional-grade blender with 64-ounce container and 10 variable speeds.,549.95,home,13,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695162/ecommerce/products/product_1758695162107_rj85y4ks2.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695162/ecommerce/products/product_1758695162107_rj85y4ks2.jpg,admin,2025-09-23T03:45:40.983Z
Roomba i7+ Self-Emptying Robot Vacuum,Smart robot vacuum with self-emptying base and app control.,799.99,home,12,,,,admin,2025-09-23T03:45:40.981Z
Casper Original Mattress,Memory foam mattress with three-layer construction for optimal comfort.,1095,home,10,,,,admin,2025-09-23T03:45:40.978Z
KitchenAid Stand Mixer,5-quart stand mixer with 10 speeds and multiple attachments.,329.99,home,18,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695156/ecommerce/products/product_1758695155104_gay8fqwtj.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695156/ecommerce/products/product_1758695155104_gay8fqwtj.jpg,admin,2025-09-23T03:45:40.970Z
Philips Hue White and Color Ambiance Starter Kit,"Smart lighting system with 3 bulbs, bridge, and app control.",199.99,home,20,,,,admin,2025-09-23T03:45:40.968Z
Nespresso Vertuo Coffee Machine,Single-serve coffee machine with 5 cup sizes and built-in milk frother.,199.99,home,30,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695151/ecommerce/products/product_1758695150965_mpyzp40rg.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695151/ecommerce/products/product_1758695150965_mpyzp40rg.jpg,admin,2025-09-23T03:45:40.966Z
Dyson V15 Detect Cordless Vacuum,Cordless vacuum with laser dust detection and 60-minute runtime.,749.99,home,15,,,,admin,2025-09-23T03:45:40.964Z
Instant Pot Duo 7-in-1 Electric Pressure Cooker,7-in-1 electric pressure cooker that replaces 7 kitchen appliances.,99.95,home,25,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695147/ecommerce/products/product_1758695146608_ew8w75ilf.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695147/ecommerce/products/product_1758695146608_ew8w75ilf.jpg,admin,2025-09-23T03:45:40.961Z
The Silent Patient by Alex Michaelides,A psychological thriller about a woman who refuses to speak after allegedly killing her husband.,15.99,books,35,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695144/ecommerce/products/product_1758695143975_2nethx06s.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695144/ecommerce/products/product_1758695143975_2nethx06s.jpg,admin,2025-09-23T03:45:40.952Z
Dune by Frank Herbert,The epic science fiction masterpiece set on the desert planet Arrakis.,18.99,books,30,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695142/ecommerce/products/product_1758695141404_q6w58zbvh.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695142/ecommerce/products/product_1758695141404_q6w58zbvh.jpg,admin,2025-09-23T03:45:40.950Z
The Seven Husbands of Evelyn Hugo by Taylor Jenkins Reid,A captivating novel about a reclusive Hollywood icon and her mysterious past.,16.99,books,40,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695139/ecommerce/products/product_1758695138661_i10v7fe29.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695139/ecommerce/products/product_1758695138661_i10v7fe29.jpg,admin,2025-09-23T03:45:40.947Z
Project Hail Mary by Andy Weir,A lone astronaut must save the earth from disaster in this science fiction thriller.,17.99,books,25,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695137/ecommerce/products/product_1758695136236_r7bdkm0tg.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695137/ecommerce/products/product_1758695136236_r7bdkm0tg.jpg,admin,2025-09-23T03:45:40.945Z
The Midnight Library by Matt Haig,"A novel about life, death, and the choices we make.",15.99,books,55,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695134/ecommerce/products/product_1758695133419_sv5va5kn1.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695134/ecommerce/products/product_1758695133419_sv5va5kn1.jpg,admin,2025-09-23T03:45:40.936Z
Educated by Tara Westover,A Memoir - the story of a woman who grew up in a survivalist family.,16.99,books,45,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695131/ecommerce/products/product_1758695130507_eo1ubek24.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695131/ecommerce/products/product_1758695130507_eo1ubek24.jpg,admin,2025-09-23T03:45:40.933Z
The Lean Startup by Eric Ries,How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses.,17.99,books,30,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695128/ecommerce/products/product_1758695127617_6n6xg9fw2.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695128/ecommerce/products/product_1758695127617_6n6xg9fw2.jpg,admin,2025-09-23T03:45:40.930Z
Sapiens by Yuval Noah Harari,A Brief History of Humankind - from the Stone Age to the present.,18.99,books,35,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695125/ecommerce/products/product_1758695125081_gx00mxjmq.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695125/ecommerce/products/product_1758695125081_gx00mxjmq.jpg,admin,2025-09-23T03:45:40.928Z
The Psychology of Money by Morgan Housel,"Timeless lessons on wealth, greed, and happiness.",15.99,books,40,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695123/ecommerce/products/product_1758695122571_96s32j2ak.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695123/ecommerce/products/product_1758695122571_96s32j2ak.jpg,admin,2025-09-23T03:45:40.919Z
Atomic Habits by James Clear,An Easy & Proven Way to Build Good Habits & Break Bad Ones.,16.99,books,50,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695120/ecommerce/products/product_1758695119768_23rkmbvgu.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695120/ecommerce/products/product_1758695119768_23rkmbvgu.jpg,admin,2025-09-23T03:45:40.917Z
Columbia Silver Ridge Convertible Pants,Convertible hiking pants that zip off into shorts with UPF 50 sun protection.,79.99,clothing,25,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695117/ecommerce/products/product_1758695116989_ii36zyh0m.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695117/ecommerce/products/product_1758695116989_ii36zyh0m.jpg,admin,2025-09-23T03:45:40.914Z
Under Armour Tech 2.0 T-Shirt,Moisture-wicking athletic t-shirt with anti-odor technology.,24.99,clothing,80,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695115/ecommerce/products/product_1758695114213_ubi620w0r.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695115/ecommerce/products/product_1758695114213_ubi620w0r.jpg,admin,2025-09-23T03:45:40.913Z
Vans Old Skool Skate Shoes,Iconic skate shoes with suede and canvas upper and waffle outsole.,75,clothing,65,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695112/ecommerce/products/product_1758695111454_m8yl72ffd.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695112/ecommerce/products/product_1758695111454_m8yl72ffd.jpg,admin,2025-09-23T03:45:40.910Z
Tommy Hilfiger Classic Polo Shirt,Cotton pique polo shirt with ribbed collar and signature flag logo.,69.99,clothing,50,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695109/ecommerce/products/product_1758695108848_kxukrx54d.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695109/ecommerce/products/product_1758695108848_kxukrx54d.jpg,admin,2025-09-23T03:45:40.901Z
Lululemon Align High-Rise Leggings,Buttery-soft yoga leggings with high-rise waist and four-way stretch.,98,clothing,40,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695107/ecommerce/products/product_1758695106213_wv0cmdccl.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695107/ecommerce/products/product_1758695106213_wv0cmdccl.jpg,admin,2025-09-23T03:45:40.899Z
Converse Chuck Taylor All Star,Classic canvas sneakers with rubber toe cap and vulcanized sole.,65,clothing,70,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695104/ecommerce/products/product_1758695103532_7yqpb1m5m.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695104/ecommerce/products/product_1758695103532_7yqpb1m5m.jpg,admin,2025-09-23T03:45:40.897Z
North Face Apex Bionic Jacket,Windproof and water-resistant softshell jacket with articulated fit.,129,clothing,35,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695101/ecommerce/products/product_1758695100753_7ymzwbx2r.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695101/ecommerce/products/product_1758695100753_7ymzwbx2r.jpg,admin,2025-09-23T03:45:40.895Z
Uniqlo Heattech Crew Neck T-Shirt,Thermal base layer with moisture-wicking and heat retention technology.,19.9,clothing,100,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695098/ecommerce/products/product_1758695098110_uahg8agq0.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695098/ecommerce/products/product_1758695098110_uahg8agq0.jpg,admin,2025-09-23T03:45:40.893Z
Adidas Ultraboost 22,Running shoes with Boost midsole technology and Primeknit+ upper.,180,clothing,55,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695096/ecommerce/products/product_1758695095402_dy6r044e9.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695096/ecommerce/products/product_1758695095402_dy6r044e9.jpg,admin,2025-09-23T03:45:40.883Z
Patagonia Better Sweater Fleece,Eco-friendly fleece jacket made from recycled polyester with zippered chest pocket.,99,clothing,30,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695093/ecommerce/products/product_1758695092941_ikji2ib4l.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695093/ecommerce/products/product_1758695092941_ikji2ib4l.jpg,admin,2025-09-23T03:45:40.881Z
Levi's 501 Original Jeans,Classic straight-fit jeans made from 100% cotton with button fly.,89.99,clothing,45,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695091/ecommerce/products/product_1758695090260_bk406mh6b.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695091/ecommerce/products/product_1758695090260_bk406mh6b.jpg,admin,2025-09-23T03:45:40.878Z
Nike Air Max 270,Comfortable running shoes with Max Air cushioning and breathable mesh upper.,150,clothing,60,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695088/ecommerce/products/product_1758695087187_voxuptldv.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695088/ecommerce/products/product_1758695087187_voxuptldv.jpg,admin,2025-09-23T03:45:40.868Z
Kindle Paperwhite,"E-reader with 6.8-inch display, adjustable warm light, and waterproof design.",139.99,electronics,40,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695085/ecommerce/products/product_1758695084615_0qy1ybl06.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695085/ecommerce/products/product_1758695084615_0qy1ybl06.jpg,admin,2025-09-23T03:45:40.865Z
Echo Dot (5th Gen),"Smart speaker with Alexa, improved audio, and built-in temperature sensor.",49.99,electronics,75,,,,admin,2025-09-23T03:45:40.862Z
Fitbit Charge 6,"Fitness tracker with built-in GPS, heart rate monitoring, and 6+ day battery life.",159.99,electronics,80,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695080/ecommerce/products/product_1758695079388_wvwrc4r44.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695080/ecommerce/products/product_1758695079388_wvwrc4r44.jpg,admin,2025-09-23T03:45:40.858Z
Raspberry Pi 5,"Single-board computer with 4GB RAM, 64-bit quad-core processor, and dual 4K display support.",79.99,electronics,100,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695077/ecommerce/products/product_1758695076572_qg9hm412c.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695077/ecommerce/products/product_1758695076572_qg9hm412c.jpg,admin,2025-09-23T03:45:40.848Z
ASUS ROG Strix Gaming Monitor,27-inch 4K gaming monitor with 144Hz refresh rate and G-SYNC support.,599.99,electronics,25,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695074/ecommerce/products/product_1758695073902_qkcysec6r.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695074/ecommerce/products/product_1758695073902_qkcysec6r.jpg,admin,2025-09-23T03:45:40.845Z
Logitech MX Master 3S Mouse,"Wireless mouse with 8000 DPI sensor, 70-day battery, and multi-device connectivity.",99.99,electronics,50,,,,admin,2025-09-23T03:45:40.841Z
SteelSeries Arctis 7P+ Wireless Gaming Headset,"Gaming headset with 30-hour battery, Discord-certified mic, and 3D audio.",199.99,electronics,35,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695069/ecommerce/products/product_1758695068934_odkiisrwf.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695069/ecommerce/products/product_1758695068934_odkiisrwf.jpg,admin,2025-09-23T03:45:40.831Z
DJI Mini 4 Pro Drone,"Compact drone with 4K/60fps video, obstacle sensing, and 34-minute flight time.",759.99,electronics,20,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695067/ecommerce/products/product_1758695066642_t15blaqwj.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695067/ecommerce/products/product_1758695066642_t15blaqwj.jpg,admin,2025-09-23T03:45:40.827Z
Canon EOS R6 Mark II,Professional mirrorless camera with 24.2MP full-frame sensor and 4K video.,2499.99,electronics,15,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695064/ecommerce/products/product_1758695063972_niyd78jcd.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695064/ecommerce/products/product_1758695063972_niyd78jcd.jpg,admin,2025-09-23T03:45:40.817Z
Nintendo Switch OLED,"Gaming console with 7-inch OLED screen, 64GB storage, and Joy-Con controllers.",349.99,electronics,40,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695062/ecommerce/products/product_1758695061364_70xkzt4tr.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695062/ecommerce/products/product_1758695061364_70xkzt4tr.jpg,admin,2025-09-23T03:45:40.812Z
Apple Watch Series 9,"Advanced smartwatch with S9 chip, Always-On Retina display, and health monitoring.",399.99,electronics,60,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695059/ecommerce/products/product_1758695058805_hi6aez6l4.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695059/ecommerce/products/product_1758695058805_hi6aez6l4.jpg,admin,2025-09-23T03:45:40.808Z
Dell XPS 13 Laptop,"Ultrabook with 13th Gen Intel processor, 13.4-inch InfinityEdge display.",1299.99,electronics,25,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695057/ecommerce/products/product_1758695056027_6cxs03oli.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695057/ecommerce/products/product_1758695056027_6cxs03oli.jpg,admin,2025-09-23T03:45:40.797Z
Sony WH-1000XM5 Headphones,Industry-leading noise canceling wireless headphones with 30-hour battery.,399.99,electronics,45,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695054/ecommerce/products/product_1758695053615_1hu1zb2l6.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695054/ecommerce/products/product_1758695053615_1hu1zb2l6.jpg,admin,2025-09-23T03:45:40.792Z
iPad Pro 12.9-inch,"Professional tablet with M2 chip, Liquid Retina XDR display, and Apple Pencil support.",1099.99,electronics,20,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695051/ecommerce/products/product_1758695051080_xl55z5sd8.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695051/ecommerce/products/product_1758695051080_xl55z5sd8.jpg,admin,2025-09-23T03:45:40.787Z
Samsung Galaxy S24 Ultra,"Premium Android smartphone with S Pen, 200MP camera, and titanium frame.",1299.99,electronics,30,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695049/ecommerce/products/product_1758695048458_l284coj20.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695049/ecommerce/products/product_1758695048458_l284coj20.jpg,admin,2025-09-23T03:45:40.759Z
Perfume Gift Set,Luxury perfume gift set with 3 different fragrances in travel sizes.,69.99,beauty,27,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695046/ecommerce/products/product_1758695045973_twnrgw35a.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695046/ecommerce/products/product_1758695045973_twnrgw35a.jpg,admin,2025-09-15T05:56:48.804Z
Hair Dryer,Professional hair dryer with ionic technology and multiple heat settings.,89.99,beauty,19,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695044/ecommerce/products/product_1758695043561_emue0ibrx.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695044/ecommerce/products/product_1758695043561_emue0ibrx.jpg,admin,2025-09-15T05:56:48.801Z
Makeup Brush Set,Professional 12-piece makeup brush set with synthetic bristles.,49.99,beauty,22,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695041/ecommerce/products/product_1758695041088_tdwvdhbo7.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695041/ecommerce/products/product_1758695041088_tdwvdhbo7.jpg,admin,2025-09-15T05:56:48.791Z
Skincare Set,"Complete skincare routine set with cleanser, toner, and moisturizer.",79.99,beauty,40,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695039/ecommerce/products/product_1758695038480_7ppzx6zod.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695039/ecommerce/products/product_1758695038480_7ppzx6zod.jpg,admin,2025-09-15T05:56:48.781Z
Water Bottle,Insulated stainless steel water bottle that keeps drinks cold for 24 hours.,19.99,sports,90,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695036/ecommerce/products/product_1758695036055_2e15lb97q.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695036/ecommerce/products/product_1758695036055_2e15lb97q.jpg,admin,2025-09-15T05:56:48.778Z
Resistance Bands Set,Set of 5 resistance bands with different resistance levels for full-body workouts.,24.99,sports,70,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695034/ecommerce/products/product_1758695033291_xtjzb7u97.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695034/ecommerce/products/product_1758695033291_xtjzb7u97.jpg,admin,2025-09-15T05:56:48.768Z
Tennis Racket,Professional tennis racket with graphite frame and synthetic strings.,149.99,sports,30,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695031/ecommerce/products/product_1758695030804_t31cau8pu.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695031/ecommerce/products/product_1758695030804_t31cau8pu.jpg,admin,2025-09-15T05:56:48.765Z
Basketball,Official size and weight basketball for indoor and outdoor play.,29.99,sports,50,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695028/ecommerce/products/product_1758695028060_uxzmrxdnd.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695028/ecommerce/products/product_1758695028060_uxzmrxdnd.jpg,admin,2025-09-15T05:56:48.755Z
Dumbbell Set,Adjustable dumbbell set with weights from 5-50 lbs for home gym.,199.99,sports,19,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695026/ecommerce/products/product_1758695025650_0zykhw2po.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695026/ecommerce/products/product_1758695025650_0zykhw2po.jpg,admin,2025-09-15T05:56:48.745Z
Yoga Mat,Non-slip yoga mat perfect for home workouts and meditation.,34.99,sports,38,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695024/ecommerce/products/product_1758695023138_zcffj7ynj.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695024/ecommerce/products/product_1758695023138_zcffj7ynj.jpg,admin,2025-09-15T05:56:48.740Z
Vacuum Cleaner,Cordless stick vacuum with powerful suction and 40-minute runtime.,299.99,home,14,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695021/ecommerce/products/product_1758695020358_c4uplwvnu.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695021/ecommerce/products/product_1758695020358_c4uplwvnu.jpg,admin,2025-09-15T05:56:48.730Z
Kitchen Knife Set,Professional 8-piece stainless steel knife set with wooden block.,129.99,home,34,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695018/ecommerce/products/product_1758695018191_d0xqw2ji0.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695018/ecommerce/products/product_1758695018191_d0xqw2ji0.jpg,admin,2025-09-15T05:56:48.720Z
Air Purifier,HEPA air purifier with 3-stage filtration and smart sensor technology.,199.99,home,20,,,,admin,2025-09-15T05:56:48.717Z
Throw Pillows Set,Set of 4 decorative throw pillows with modern geometric patterns.,39.99,home,60,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695014/ecommerce/products/product_1758695013453_9gqr42lvo.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695014/ecommerce/products/product_1758695013453_9gqr42lvo.jpg,admin,2025-09-15T05:56:48.707Z
